GRID_1K_CD,pop,emp,pc_in
나다5895,6,0,0.0
나다5896,4,0,0.0004
나다5897,0,0,0.0
나다5898,0,0,0.0
나다5899,0,0,0.0
나다5986,0,0,0.0
나다5987,0,0,0.0
나다5988,0,0,0.0
나다5990,4,0,0.0
나다5991,40,3,0.0012
나다5992,33,3,0.0008
나다5993,0,0,0.0
나다5994,0,0,0.0
나다5995,0,0,0.0
나다5997,0,0,0.0
나다5998,19,5,0.0
나다5999,9,0,0.0004
나다6082,0,0,0.0
나다6086,0,0,0.0
나다6087,2,0,0.0
나다6088,0,0,0.0
나다6089,0,0,0.0
나다6090,26,5,0.0
나다6091,0,0,0.0
나다6092,0,0,0.0
나다6093,0,0,0.0
나다6094,0,0,0.0
나다6095,0,0,0.0
나다6096,0,0,0.0
나다6182,0,0,0.0
나다6183,0,0,0.0
나다6185,0,0,0.0
나다6186,27,0,0.0004
나다6187,59,8,0.0024
나다6188,0,0,0.0
나다6189,9,0,0.0
나다6191,0,0,0.0
나다6192,0,0,0.0
나다6193,0,0,0.0
나다6194,15,0,0.0
나다6195,0,0,0.0
나다6196,0,0,0.0
나다6285,0,0,0.0
나다6286,0,0,0.0
나다6287,0,0,0.0
나다6289,0,0,0.0
나다6291,4,0,0.0
나다6292,8,4,0.0
나다6293,8,9,0.0008
나다6294,30,0,0.0004
나다6297,0,0,0.0
나다6298,0,0,0.0
나다6299,0,0,0.0
나다6385,0,0,0.0
나다6386,0,0,0.0
나다6389,0,0,0.0
나다6390,0,0,0.0012
나다6391,23,0,0.0004
나다6392,19,3,0.0008
나다6393,101,9,0.0032
나다6394,24,3,0.0004
나다6395,1,0,0.0004
나다6396,1,0,0.0
나다6397,0,0,0.0
나다6399,0,0,0.0
나다6482,0,0,0.0
나다6483,0,0,0.0
나다6486,0,0,0.0
나다6488,0,0,0.0
나다6489,3,3,0.0
나다6490,34,0,0.0004
나다6491,6,0,0.0016
나다6492,0,0,0.0
나다6493,0,0,0.0
나다6494,3,0,0.0
나다6495,9,0,0.0004
나다6496,38,3,0.0028
나다6497,0,0,0.0
나다6581,0,0,0.0
나다6582,0,0,0.0
나다6583,75,5,0.0016
나다6588,0,0,0.0
나다6589,23,0,0.0
나다6590,95,5,0.0012
나다6591,51,20,0.0044
나다6592,39,15,0.0096
나다6593,14,7,0.0012
나다6594,73,8,0.0012
나다6598,0,0,0.0
나다6599,0,0,0.0
나다6682,0,0,0.0
나다6683,85,25,0.0028
나다6684,0,0,0.0
나다6685,0,0,0.0
나다6686,0,0,0.0
나다6687,0,0,0.0
나다6688,7,0,0.0004
나다6689,126,8,0.0028
나다6690,364,217,0.047
나다6691,68,27,0.0032
나다6692,0,0,0.0
나다6693,36,5,0.0008
나다6694,0,0,0.0
나다6698,0,0,0.0
나다6699,0,0,0.0
나다6781,0,0,0.0
나다6782,0,0,0.0
나다6783,0,0,0.0
나다6784,21,3,0.0
나다6785,0,0,0.0
나다6787,0,0,0.0
나다6788,1,0,0.0004
나다6789,26,0,0.0
나다6790,11,5,0.0
나다6791,1,0,0.0
나다6792,0,0,0.0
나다6793,0,0,0.0
나다6882,0,0,0.0
나다6883,0,0,0.0
나다6884,4,0,0.0
나다6887,0,0,0.0
나다6888,0,0,0.0
나다6889,56,0,0.0004
나다6890,16,3,0.0
나다6891,2,0,0.0
나다6982,0,0,0.0
나다6983,0,0,0.0
나다6984,21,0,0.0004
나다6988,69,18,0.0024
나다6989,38,10,0.0004
나다6990,5,0,0.0
나다6991,0,0,0.0
나다7082,0,0,0.0
나다7084,0,0,0.0
나다7086,0,0,0.0
나다7087,0,0,0.0
나다7088,0,0,0.0
나다7089,0,0,0.0
나다7090,0,0,0.0
나다7091,0,3,0.0
나다7184,0,0,0.0
나다7186,46,0,0.0036
