O_GID,D_GID,VOL
다사4947,다사4847,124.54
마라0353,마라0254,124.5
다바7832,다바7832,124.25
다바9115,다바8917,124.25
다사3149,다사3149,124.21
다마4329,다마4130,124.04
다사4545,다사4947,124.0
다사6061,다사6061,123.96
라마9571,라마9572,123.83
다사3545,다사3646,123.79
다사6511,다사6511,123.75
다사7151,다사7151,123.71
마라1889,마라1889,123.58
라라1761,라라1760,123.54
라바6143,라바6244,123.46
마라4483,마라4483,123.29
다바8817,다바8916,123.12
다사6016,다사6113,123.08
다사5755,다사5755,122.96
다라0546,다라0547,122.67
다사2946,다사2946,122.54
마마0162,마마0162,122.42
마마1059,마마1059,122.21
다사3128,다사3126,122.12
다사4345,다사4345,122.04
다바7890,다바7989,122.04
다바6870,다바6870,121.92
다사5242,다사5844,121.88
다사5855,다사5855,121.79
다사2735,다사2833,121.67
마마7427,마마7525,121.58
다바7831,다바7833,121.54
마라4489,마라4489,121.5
다사5718,다사5718,121.5
다사6956,다사6956,121.46
다사4351,다사4351,121.46
다사2556,다사2556,121.33
다사3130,다사3126,121.33
다사6529,다사6528,121.25
다사5029,다사4929,121.21
다사5850,다사5850,121.12
마바6990,마바6989,121.12
다사4752,다사4752,121.08
다사4944,다사4542,121.0
마마0964,마마0964,120.92
다마6959,다마6959,120.83
다사6643,다사6642,120.83
다사5433,다사5433,120.83
다바8518,다바8518,120.71
다바9350,다바9450,120.71
다사5150,다사5251,120.71
다사5142,다사6045,120.67
다사4748,다사4947,120.62
다사5650,다사5650,120.5
다사2448,다사2448,120.5
다사3562,다사3562,120.5
다사7349,다사7250,120.21
다사6748,다사6848,120.12
다사6044,다사5944,120.08
라마9361,라마9362,120.04
다사6011,다사6011,120.04
마라0255,마라0255,119.92
라마3643,라마3743,119.88
다마6555,다마6555,119.75
다사5150,다사4847,119.71
다사4148,다사4148,119.62
다사6252,다사6252,119.46
다사4150,다사4151,119.46
다사3737,다사3738,119.29
마라5288,마라5287,119.29
마라3793,마라3794,119.21
다사5030,다사4929,119.17
다사4746,다사4847,119.12
다사6053,다사6053,119.08
다사6012,다사6113,119.08
다나0699,다나0599,119.0
다사5653,다사5652,119.0
마마6528,마마6528,118.96
다마5473,다마5473,118.92
다사4957,다사5352,118.83
다사6849,다사6848,118.79
다사4543,다사4542,118.67
라마8544,라마8643,118.67
다사5970,다사5970,118.5
다마6654,다마6654,118.5
라마9866,라마9765,118.42
다바0564,다바0564,118.38
라마9157,라마9157,118.38
다사4250,다사4250,118.33
다사5250,다사5351,118.29
다사5421,다사5421,118.21
라마9864,라마9864,118.12
라라0161,라라0161,118.04
다사5027,다사5027,118.0
다사4844,다사4947,118.0
라마9257,라마9257,118.0
다사4348,다사4348,117.96
다사5333,다사5333,117.96
다사6148,다사6148,117.96
다사2260,다사2260,117.92
다바8915,다바8915,117.79
다바6080,다바6080,117.79
다마4229,다마4130,117.75
라사3726,라사3726,117.67
마마5563,마마5563,117.62
마사4740,마사4739,117.62
다사5029,다사5128,117.58
마라4286,마라4286,117.5
다사4541,다사4542,117.5
다바9015,다바8917,117.46
다사6625,다사6625,117.38
다사3566,다사3566,117.38
다마9013,다마9013,117.21
다사6529,다사6530,117.21
라바6144,라바6143,117.0
다사5142,다사5944,117.0
마마6631,마마6631,116.96
다사6647,다사6547,116.96
다사6645,다사6645,116.96
다사6643,다사6644,116.92
다사6950,다사6950,116.75
라라9791,라라9791,116.71
마마7322,마마7225,116.54
다사5851,다사5352,116.54
다사4344,다사4344,116.54
마마5104,마마5204,116.33
라마8340,라마8338,116.29
다나1374,다나1273,116.25
다마5373,다마5273,116.21
마라5287,마라4887,116.21
마라0694,마라0792,116.21
다사6044,다사6045,116.17
나라8610,나라8610,116.17
다사4852,다사4852,116.12
다사3140,다사3140,116.12
다사4343,다사4343,116.04
다사6533,다사6533,115.92
다사4944,다사4943,115.83
다사5348,다사5348,115.79
다사2339,다사2339,115.75
마라4786,마라4786,115.71
다바8448,다바8448,115.62
다바9650,다바9350,115.62
다사6213,다사6113,115.54
다바8517,다바8517,115.46
다사4321,다사4321,115.46
마라4080,마라4080,115.38
다사5252,다사5252,115.38
다사4643,다사4642,115.29
다사5851,다사5452,115.17
다사4845,다사4845,115.08
라마2025,라마2025,115.08
다사5621,다사5621,115.0
마마0264,마마0264,114.79
다사4125,다사4024,114.71
다사4955,다사4955,114.54
다사4020,다사4020,114.5
라사8509,라사8509,114.42
다사5754,다사5754,114.38
다사2530,다사2530,114.33
마마6987,마마6987,114.04
다바7890,다바7890,113.96
마마6628,마마6628,113.96
다사5027,다사4929,113.92
다바7834,다바7934,113.92
다라4532,다라4531,113.92
다사3047,다사3047,113.92
다사5124,다사5124,113.88
다사5251,다사5452,113.83
다사4933,다사4933,113.79
다라3570,다라3470,113.75
마라4388,마라4389,113.71
마라0255,마라0056,113.67
라마9661,라마9661,113.62
마라0155,마라0057,113.58
다사1643,다사1643,113.54
다사5232,다사5232,113.54
다나0774,다나0774,113.42
라마7788,라마7988,113.42
라마7788,라마7788,113.29
다사4741,다사4641,113.29
나라9739,나라9638,113.21
다사5622,다사5622,112.96
마마6527,마마6428,112.92
다사5033,다사5033,112.83
다사6737,다사7137,112.83
다사4747,다사5452,112.75
다사4944,다사4947,112.71
마라0255,마라0254,112.71
다라5374,다라5374,112.71
마라0055,마라0056,112.67
다사4746,다사4746,112.62
다사5343,다사5443,112.62
라사4225,라사4225,112.54
라마6191,라마6092,112.5
다바9517,다바9517,112.46
다사7038,다사7037,112.42
다사4544,다사4544,112.25
다사3545,다사3445,112.17
다사6749,다사6749,112.17
다사5844,다사5944,112.12
마라4788,마라4887,112.0
다마5373,다마5473,111.96
다사3643,다사3643,111.96
다사5753,다사5753,111.88
다바6671,다바6571,111.88
다사6349,다사6349,111.83
다사4051,다사4051,111.75
다바8447,다바8447,111.75
라라9790,라라9790,111.71
다나1273,다나1273,111.71
다라0446,다라0547,111.62
다사6151,다사6151,111.58
다사6633,다사6533,111.54
다사2629,다사2528,111.5
라마9964,라마9964,111.5
다사5758,다사5758,111.46
다사5853,다사5452,111.42
다사6157,다사6157,111.42
다사5552,다사5552,111.42
라바0765,라바0765,111.38
마마5105,마마5204,111.38
다바6390,다바6093,111.29
다사5149,다사4847,111.21
마마3603,마마3603,111.21
다사6841,다사6841,111.17
마라4583,마라4583,111.08
다사6021,다사6021,111.08
다바8511,다바8511,111.08
다사6621,다사6621,111.08
다사6412,다사6412,111.08
라바3887,라바3887,111.04
다사5045,다사5045,111.0
라마9461,라마9461,110.71
다바9115,다바9115,110.71
다사7449,다사7449,110.62
다라0997,다라0998,110.5
다바1918,다바0922,110.46
다사6261,다사6261,110.42
다사3228,다사3126,110.21
다사5757,다사5757,110.08
다사7152,다사7152,110.08
다라5273,다라5374,110.08
다사3737,다사3737,110.08
라마9157,라마9257,110.0
마마0160,마마0160,109.92
다바7936,다바7833,109.88
마라3791,마라3791,109.88
다사4646,다사4646,109.88
다사5917,다사6017,109.83
다사5145,다사5045,109.83
다사4647,다사4646,109.79
다바6969,다바6969,109.75
마라4086,마라4086,109.62
다사6854,다사6855,109.62
라마3743,라마3743,109.62
다사5812,다사6113,109.54
다사5250,다사5451,109.5
다사9816,다사9816,109.33
다사4248,다사4248,109.29
마라0792,마라0791,109.21
마마7527,마마7627,109.08
다사5243,다사5243,108.96
다사5952,다사5952,108.79
다사6455,다사6455,108.71
다바9114,다바9114,108.67
다바9025,다바9025,108.62
다사6358,다사6358,108.62
다사6324,다사6324,108.5
다사6252,다사6151,108.42
다사5149,다사5452,108.42
다마2974,다마2974,108.42
마마1164,마마0964,108.38
다사4957,다사5452,108.33
다사6634,다사6634,108.29
다사6156,다사6156,108.21
다사6631,다사6631,108.12
다사3129,다사3126,108.08
마라0254,마라0255,108.0
라마9470,라마9470,107.96
다바8817,다바8817,107.88
다바9015,다바8916,107.75
다사4151,다사4051,107.71
다사3952,다사4052,107.67
마마1964,마마1964,107.54
다사4846,다사4847,107.54
마마1159,마마1159,107.46
다사6748,다사6747,107.46
라마8454,라마8454,107.46
다사2736,다사2833,107.42
다바9122,다바9022,107.25
다사6479,다사6479,107.17
다사6528,다사6528,107.17
라마9362,라마9362,107.12
마라4491,마라4491,107.08
다사5862,다사5862,107.08
다사5145,다사5145,107.04
다사3644,다사3744,107.04
다사4851,다사4851,107.0
다사3760,다사3760,107.0
다라0147,다라0147,107.0
다사4747,다사5352,106.79
다사5032,다사5032,106.71
다사4747,다사4647,106.71
다사4751,다사4751,106.62
다사3742,다사3742,106.58
라마9360,라마9360,106.42
다마6459,다마6559,106.29
마마7425,마마7524,106.29
라라8354,라라8354,106.12
다사5029,다사5029,106.04
다사7039,다사7137,106.0
마라1052,마라0953,105.96
마마6582,마마6582,105.92
마마7423,마마7526,105.79
마마1321,마마1223,105.79
마라3885,마라3885,105.75
다사4647,다사4747,105.71
다사2440,다사2440,105.67
다사9420,다사9520,105.46
다사5046,다사5046,105.38
다사2739,다사2739,105.33
다바6670,다바6670,105.29
다사6212,다사6113,105.25
다사6114,다사6113,105.12
다사5917,다사5917,105.12
라바0048,라바0048,105.08
마마1060,마마1059,105.04
