O_GRID,D_GRID,VOL
다사6737,다사7039,91.6649467948033
다바2377,다바2277,154.047069580922
마마7423,마마7321,78.5903739202639
다사5433,다사5132,150.296404145313
다마2873,다마1474,55.6047517773455
라사4343,라사4939,55.6292402355648
다사3244,다사3045,126.924434188313
다사6645,다사6544,57.9449346239554
마마6738,마마6839,60.2800039363589
다사5862,다사5962,103.624514956531
다사5812,다사6310,134.089740183291
다사5231,다사5333,55.3529516467042
다사4252,다사4151,83.3221968515087
다다1000,다다0900,72.9552478226586
다사4745,다사4644,70.4776892580276
다사5251,다사5351,467.836933583247
다사4545,다사4947,231.367262376271
다사4752,다사4653,167.11975114225
다사5646,다사4947,81.7725768749364
라마9362,라마9361,84.1291713538275
라바9968,마바0068,177.007629432377
라바3787,라바2886,55.4152291778838
마라4682,마라4080,84.8786112664858
마라3679,마라3378,58.8544425881625
다사4854,다사5351,126.857663644458
마마3805,마마3704,58.4643762047817
다다1000,다다0901,123.358534759086
다라4788,다라4588,56.6930706726849
다마6860,다마6858,68.1991573639065
다사5858,다사5351,72.6710660021972
다사5322,다사5125,91.9768120494382
다사3926,다사3224,58.7051160567128
다바8615,다바8518,76.1913770696251
마마0067,라마9967,83.3047788400732
다사4751,다사5049,77.5386485714855
다사5856,다사5754,57.3453408197096
다사7050,다사6950,79.7194761603747
다사4450,다사4848,80.074458228166
다바9227,다바9025,91.7443849941418
다사4160,다사4161,77.5204069441886
다바9115,다바9214,96.2178671725917
다라4784,다라4784,64.8198297949767
마라5696,마라5695,122.280209194663
라마9358,라마8544,64.7930646409092
다사5757,다사5858,100.181851229026
다사3129,다사3324,62.888470149028
다바9846,다바9845,58.2315847117338
다바6988,다바6990,51.8598516523295
다사3644,다사3644,132.426045345777
라마9162,라마8960,139.425234330462
마라0991,마라0889,134.843482244629
다사5653,다사5251,65.7188817983659
다사2840,다사3040,88.091111121845
다사5850,다사5750,108.211027167524
라바0611,라바0810,68.6756664218954
다사4024,다사3825,108.91007485039
다바9113,다바9214,102.630164942315
다사4251,다사4247,66.4880229205646
다바9560,다바9456,109.172946003322
다바9214,다바8917,92.1048981365121
다사4422,다사4322,51.4734718259913
다사4244,다사5452,77.4473103861222
다사5341,다사5351,60.6736463965713
다사4745,다사4647,78.3676889845114
마라0196,마라0393,77.2556202496753
다사3248,다사3149,91.4249506525372
마마1321,마마1515,73.1675029785995
다사4348,다사4447,105.10493021178
다마6656,다마6858,90.4696033158323
다사6344,다사6145,75.5340238443028
다사2746,다사2742,90.2897327573957
마마1321,마마1323,206.11411326102
다사3244,다사3144,126.106804939238
다마5273,다마5473,88.6041797593161
다마3048,다마3148,69.4692987879289
마마6738,마마6932,127.082126636477
다사5148,다사5352,55.4729051552008
다사5342,다사5442,104.270576031894
다사5756,다사5351,178.700034818512
다사2840,다사2940,120.510578320173
라마7494,라마7989,130.811885437556
다바8030,다바7833,223.536376122348
다사2441,다사2543,61.1086339397796
마마1102,마마1101,108.166668813834
다사3129,다사3027,198.986306864142
라사3330,라사3230,52.2674840520031
다사5954,다사5953,125.765798237298
마마0358,마마0163,76.7024489756438
다바9413,다바9213,74.4621350165796
다라4090,다라4091,136.264271431604
다사2749,다사2254,63.1001190433167
마라5386,마라5287,79.5646177318453
다사3327,다사3225,113.28331633378
다라3570,다라3469,188.540942558778
